64	0,0,-5;0,-2,3;0,2,3;0,-4,-2;0,4,-2;-2,0,-1;2,0,-5;-2,-2,1;-2,2,1;2,-2,6;2,2,6;2,-4,-2;2,4,-2;2,-6,1;2,6,1;4,0,-4;4,-2,2;4,2,2;4,-4,-1;4,4,-1
65	0,0,6;0,-2,-6;0,2,-6;0,-4,2;0,4,2;0,-6,-1;0,6,-1;-2,0,4;2,0,6;-2,-2,-2;-2,2,-2;2,-2,-3;2,2,-3;-2,-4,1;-2,4,1;2,-4,2;2,4,2;4,0,1;4,-2,-1;4,2,-1
66	0,0,-3;0,-2,2;0,2,2;0,-4,-1;0,4,-1;2,0,-6;2,-2,6;2,2,6;2,-4,-2;2,4,-2;2,-6,1;2,6,1;4,0,-6;4,-2,4;4,2,4;4,-4,-2;4,4,-2;6,0,-2;6,-2,1;6,2,1
67	0,0,-3;0,-2,3;0,2,3;0,-4,-1;0,4,-1;-2,0,-7;-2,-2,6;-2,2,6;-2,-4,-3;-2,4,-3;-2,-6,1;-2,6,1;-4,0,-6;-4,-2,4;-4,2,4;-4,-4,-2;-4,4,-2;-6,0,-1;-6,-2,1;-6,2,1
68	0,0,8;0,-2,-6;0,2,-6;0,-4,3;0,4,3;0,-6,-1;0,6,-1;-2,0,4;2,0,6;-2,-2,-3;-2,2,-3;2,-2,-4;2,2,-4;-2,-4,1;-2,4,1;2,-4,2;2,4,2;4,0,1;4,-2,-1;4,2,-1
69	0,0,9;0,-2,-7;0,2,-7;0,-4,3;0,4,3;0,-6,-1;0,6,-1;-2,0,5;2,0,7;-2,-2,-3;-2,2,-3;2,-2,-5;2,2,-5;-2,-4,1;-2,4,1;2,-4,2;2,4,2;4,0,2;4,-2,-1;4,2,-1
70	10,0,-1;2,0,-2;2,-2,1;2,2,1;4,0,-4;4,-2,2;4,2,2;6,0,-3;6,-2,3;6,2,3;8,0,-3;8,-2,1;8,2,1
71	-2,0,2;-2,-2,-1;-2,2,-1;-2,-4,1;-2,4,1;-4,0,3;-4,-2,-4;-4,2,-4;-4,-4,2;-4,4,2;-4,-6,-1;-4,6,-1;-6,0,4;-6,-2,-2;-6,2,-2;-6,-4,2;-6,4,2;-8,-2,-1;-8,2,-1
72	0,0,6;0,-2,-5;0,2,-5;0,-4,1;0,4,1;-2,0,4;2,0,6;-2,-2,-2;-2,2,-2;2,-2,-3;2,2,-3;2,-4,1;2,4,1;-4,0,1;4,0,2;4,-2,-1;4,2,-1
73	10,0,2;10,-2,-1;10,2,-1;4,0,4;4,-2,-3;4,2,-3;4,-4,1;4,4,1;6,0,8;6,-2,-5;6,2,-5;6,-4,3;6,4,3;8,0,5;8,-2,-5;8,2,-5;8,-4,1;8,4,1
74	0,0,-2;0,-2,1;0,2,1;-2,0,-6;-2,-2,5;-2,2,5;-2,-4,-1;-2,4,-1;-4,0,-8;-4,-2,5;-4,2,5;-4,-4,-2;-4,4,-2;-6,0,-4;-6,-2,3;-6,2,3;-8,0,-1
75	0,0,-4;0,-2,4;0,2,4;0,-4,-1;0,4,-1;2,0,-10;2,-2,7;2,2,7;2,-4,-4;2,4,-4;2,-6,1;2,6,1;4,0,-7;4,-2,6;4,2,6;4,-4,-2;4,4,-2;6,0,-2;6,-2,1;6,2,1
76	0,0,6;0,-2,-4;0,2,-4;0,-4,1;0,4,1;-2,0,2;2,0,7;-2,-2,-1;-2,2,-1;2,-2,-4;2,2,-4;2,-4,2;2,4,2;4,0,3;4,-2,-3;4,2,-3;6,0,1
77	0,0,-1;0,-4,-1;0,4,-1;-2,-2,1;-2,2,1;2,-2,1;2,2,1
